 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
 Kennedy K.F.," Saint Luke's Mid America Heart Institute, UMKC, Kansas City, MO, United States"
 Keren-Portnoy T.," Language and Linguistic Science, University of York, York, United Kingdom"
 Kermit P.," Department of Social Work and Health Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway"
 Kerr D.," School District #27, Cariboo, British Columbia, Canada"
 Kerr J.D.," Landmark Graphics EAME, Ltd."
 Kerut E.K.," Heart Clinic of Louisiana, 1111 Medical Center Blvd, Marrero, LA 70072, United States"
 Kerzel D.," FPSE, University of Geneva, Switzerland"
 Ketter T.," National Institute of Mental Health, Bethesda, MD, United States"
 Khachumov V.M.," Laboratory of the Institute of System Analysis, Russian Academy of Sciences, Moscow, Russian Federation"
 Khajepour A.," Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON, Canada"
 Khajepour A.," Department of Mechanical and Mechatronics Engineering, University of WaterlooON, Canada"
 Khajepour A.," Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON, Canada"
 Khalifa O.O.," Department of Computer Information Systems, King Abdullah II School for Information Technology, University of Jordan, Jordan"
 Khanakah G.," Department of Small Animals and Horses, Institute for Hygiene and Applied Immunology, Medical University of Vienna, Vienna, Austria"
 Khandwala F.," Dept. of Gastroenterol. and Hepatol., Ctr. Swallowing Esophageal Disord., Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, United States"
 Kharate G.K.," Matoshri College of Engineering and Research Centre, Department of Electronics and Telecommunication Engineering, University of Pune, Nashik, India"
 Kho M.E.," Department of Research and Education, D'Or Institute, Brasilia, Brazil"
 Khushu-Lahiri R.," Indian Institute of Technology, Ropar, India"
 Kieffer L.J.," Department of Genetics, Yale University School of Medicine, New Haven, CT 06520, United States"
 Kieler H.," Karolinska Institute, Department of Medicine, Solna, Centre for Pharmacoepidemiology (CPE), Stockholm, Sweden"
 Kikic Z.," Department of Cardiac Surgery, Medical University Vienna, W_hringer GŸrtel 18-20, Vienna, Austria"
 Kilabuk J.," Project Steering Committee, Baffin Regions, NT, Canada"
 Kildea S.," Australian Catholic University, Mater Medical Research Institute, Brisbane, Australia"
 Kileny S.," Department of Pediatrics, University of Michigan Medical School, Ann Arbor, MI, United States"
 Kilian S.," Department of Psychiatry and Mental Health, University of Cape Town, Cape Town, South Africa"
 Killian J.M.," Department of Epidemiology and Preventive Medicine, Sackler Medical School, Tel Aviv University, Israel"
 Kim H.," Ewha Global Top5 Research Program, Ewha Womans University, Seoul 120-750, South Korea"
 King M.," Faculty of Extension, University of Alberta, Edmonton, AB, Canada"
 Kirimli G.," Department of Emergency Medicine, Bitlis State Hospital, Bitlis, Turkey"
 Kirschfink M.," Institute for Clinical Immunology, Heidelberg University, Heidelberg, Germany"
 Kiselyov O.," FNMOC, United States"
 Kissova V.," Teaching Hospital Nitra, Department of Anesthesiology and Intensive Medicine, Nitra, Slovakia"
 Klapetek P.," Czech Metrology Institute, Okru_n’ 31, 638 00 Brno, Czech Republic"
 Klapetek P.," Czech Metrology Institute, Okru_n’ 31, 638 00 Brno, Czech Republic"
 Kleinman S.M.," Operational Sciences International, Monterey, United States"
 Kline T.," Department of Instructional Technology, Bloomsburg University"
 Klinger L.," Department of Psychiatry, University of Western Ontario, London, Ont., Canada"
 Klintberg J.A.," Julia and Juli Kommunikation AB, Stockholm, Sweden"
 Klocke B.," Tel Aviv University, Tel Aviv, Israel"
 Kneeshaw D.," UNB, Faculty of Forestry and Environmental Management, Canada"
 Knight K.D.," Medical University of South Carolina, Charleston, SC, United States"
 Knoors H.," University of Aberdeen, Aberdeen, United Kingdom"
 Ko L.," School of Languages and Comparative Cultural Studies, The University of Queensland, Australia"
 Ko L.," School of Languages and Comparative Cultural Studies, University of Queensland, Brisbane, Australia"
 Kobal I.," Dept. of Phys. and Organic Chemistry, J. Stefan Institute, P. O. Box 3000, 61001 Ljubljana, Slovenia"
 Kodish E.D.," Bioethics Department, School of Medicine, Case Western Reserve University, 10900 Euclid Avenue, Cleveland, OH 44106-4976, United States"
 Kogure S.," Shizuoka University, Hamamatsu Shizuoka 432-8011, Japan"
 Kohlhepp J.," Philips Research Laboratories, Prof. Holstlaan 4, NL-5656 AA Eindhoven, Netherlands"
 Koide S.," National Research Association of Sign Language Interpretation (NRASLI), Japan"
 Koivurova T.," Northern Institute for Environmental and Minority Law (NIEM) University of Lapland, Rovaniemi, Finland"
 Kolbe D.L.," InVitae (formerly Locus Development), 458 Brannan Street, San Francisco, CA, United States"
 Kolly V.," Coordinator of Patient Relations, Espace M_diation, University Hospitals of Geneva, Geneva, Switzerland"
 Kolo? A.," Department of Geography, University of Zadar, Croatia"
 Komanduri R.," Mechanical and Aerospace Engineering, Oklahoma State University, Stillwater, OK, United States"
 Kondo K., University of Tokyo
 Koniorczyk M.," Computer and Automation Research, Institute of the Hungarian Academy of Sciences, MTA SZTAKI, Budapest, Hungary"
 Konrat R.," Institute of Theoretical Chemistry and Molecular Structural Biology, University of Vienna, Rennweg 95b, Austria"
 Korol G.," Department of Emergency Medicine, Izmir Katip ‚elebi University, AtatŸrk Research and Training Hospital, Izmir, Turkey"
 Korolkova O.O.," Novosibirsk State Technical University, Department of Applied Mathematics, Novosibirsk, Russian Federation"
 Kosec P.," Institute of Medical Informatics, Research Unit HCI4MED, Medical University Graz, Auenbruggerplatz 2/V, Graz A-8036, Austria"
 Kosec P.," Research Unit HCI4MED, Medical University Graz, Graz, Austria"
 Kotz_ E.," Nelson Mandela Metropolitan University, Port Elizabeth, South Africa"
 Krall A.," Department of Computer Science, Trinity College, Dublin 2, Ireland"
 Krause B.J.," Department of Nuclear Medicine, Heinrich-Heine University Duesseldorf, Duesseldorf, Germany"
 Kreimeyer K.H.," Arizona State Schools Deaf and Blind, Tucson, AZ, United States"
 Krgeloh C.U.," Department of Psychology, AUT University, Private Bag 92006, Auckland, 1142, New Zealand"
 Kroll J.F.," Pennsylvania State University, University Park, PA, United States"
 Kruger J.F.," Division of General Internal Medicine, UCSF, United States"
 Kshirsagar R.V.," Priyadarshini College of Engineering, Nagpur, India"
 K_ken R.," Karaman Mah. Nergis sok. ?elale Apt. No: 16 5/9, 03000 Afyonkarahisar, Turkey"
 K_rrholm J.," Clinical sciences - Dept.of orthopaedics Gothenburg, Sweden Clinical sciences - Dept.of orthopaedics Gothenburg, Sweden"
 Kuang Y.C.," International Islamic University Malaysia, Jalan Gombakm, 53100 Kuala Lumpur, Malaysia"
 Kubis N.," Service de physiologie clinique-explorations fonctionnelles, Universit_ Paris Diderot, Sorbonne Paris Cit_, hïpital Lariboisière, AP-HP, 2, rue Ambroise-Par_, Paris, France"
 Kumar K.," Department of Primary Care Clinical Sciences, University of Birmingham, Birmingham, United Kingdom"
 Kunin W.E.," UMR Biologie et Gestion des Adventices, INRA-Dijon, 17 rue Sully, 21065 Dijon Cedex, France"
 Kupermintz H.," University of Haifa, Haifa, Israel"
 Kurth E.," Geneva University Hospitals, Switzerland"
 Kurtz K.T.," National Conference of State Legislatures, United States"
 Kuusela O.," Jesus College, Oxford, United Kingdom"
 Kuzelova M.," Comenius University in Bratislava, Faculty of Pharmacy, Department of Pharmacology and Toxicology, Bratislava, Slovakia"
 Kwitek A.," Novocraft Technologies Sdn Bhd, Selangor, Malaysia"
 KŸhn S.," Max Planck Institute for Human Development, Berlin, Germany"
 Laaboubi M.," Equipe l'enfant, la sant_ et le d_veloppement, Service de r_animation CHU, Universit_ Cadi Ayyad, Marrakech, Morocco"
 Lafferty K.A.," Department of Otolaryngology, Boston ChildrenÕs Hospital, Boston, MA, United States"
 Lage K.," Nationwide Children's Hospital, Department of Pediatrics, The Ohio State University, Columbus, OH, United States"
 Lahr B.D.," University of Minnesota, Minneapolis, MN, United States"
 Laine L.," Volvo 3P, SE-40508 G_teborg, Sweden"
 Laine M.," Åbo Akademi University, United States"
 Laine M.," Department of English Translation Studies, University of Turku, Turku, Finland"
 Lakhanpaul M., Action on Hearing Loss Leicester UK
 Lamard M.," Univ Bretagne Occidentale, Brest, F-29200, France"
 Lambert S.," School of Translation and Interpretation, University of Ottawa, Ottawa, Canada"
 Lambert S.," School of Translators and Interpreters, University of Ottawa, Canada"
 Lamp K.C.," Global Medical Affairs, Cubist Pharmaceuticals, Lexington, Massachusetts"
 LANGFORD C.F.," Centre for Food and Animal Research, Research Branch, Agriculture Canada, Ottawa, Ontario, K1A 0C6, Canada"
 Langston M.," Saint Louis University School of Public Health, St. Louis, MO, United States"
 Lansbury G.," Faculty of Education and Social Work, University of Sydney, PO Box 170, Lidcombe, NSW 2141, Australia"
 Larivière C.," ƒcole Polytechnique de Montr_al, D_partement de Math_matique et G_nie Industriel, 2500 Chemin de Poly, Montr_al, Que. H3C 3A7, Canada"
 Larsen B.," Veracode, United States"
 Laszlo B.," Evoline Srl, Cluj Napoca, Romania"
 Latif R.," EST, Ecole Sup_rieure de Technologie, Universit_ Ibn Zohr, Guelmim, Morocco"
 Lauderdale D.S.," Department of Health Studies, University of Chicago, Chicago, IL, United States"
 Lawall J.L.," Gn. Mt. Computing Systems, Inc., So. Burlington, VT, United States"
 Lawrence P.S.," Department of Psychology, University of North Carolina, Greensboro, United States"
 Laws M.B.," Latin American Health Institute, Boston, MA, United States"
 Le G.M.," Department of Medicine, Division of General Internal Medicine, University of California, San Francisco, CA, United States"
 Le Gall J.Y.," Inserm, France"
 Le Goff I.," UMR 7041, Ethnologie pr_historique, MAE, 21, all_e de l'Universit_, F-92023 Nanterre cedex, France"
 Leal S.," Department of Psychology, Florida International University, Miami, FL, United States"
 Leal S.," Department of Psychology, St. Petersburg State University, St Petersburg, Russian Federation"
 Leanza Y.," Laval University, Canada"
 Leanza Y.," Laval University, Que., Canada"
 Lebbe L.," Department of Geology and Soil Science, Ghent University, Krijgslaan 281 (S8), B-9000 Gent, Belgium"
 Lebiere C.," Department of Psychology, Carnegie Mellon University, Pittsburgh, PA, United States"
 Lebo M.S.," Clinical Institute of Medical Genetics, Department of Obstetrics and Gynecology, University Medical Centre Ljubljana, Ljubljana, Slovenia"
 Leclerc J.," SDAVO - UMR 7041, Ethnologie pr_historique, MAE, 21, all_e de l'Universit_, F-92023 Nanterre cedex, France"
 Leder K.," Department of Epidemiology and Preventive Medicine, School of Public Health and Preventive Medicine, Monash University, 99 Commercial Road, Melbourne, VIC, Australia"
 Lee J.," Orange County Asian and Pacific Islander Community Alliance (OCAPICA), 12900 Garden Grove Blvd., Garden Grove, CA 92843, United States"
 Lee J.H.," Department of Biological Science, Sungkyunkwan University, Suwon, South Korea"
 Legedza A.T.R.," Division of General Medicine and Primary Care, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, United States"
 Leigh G.," Royal Institute for Deaf and Blind Children, University of Newcastle, Newcastle, United Kingdom"
 Lek M.," The Scripps Translational Science Institute, The Scripps Research Institute, La Jolla, CA, United States"
 Lemieux S.," University of Ottawa, Ottawa, Canada"
 Leng J.," Columbia University Mailman School of Public Health, New York, NY, United States"
 Leng J.C.F.," New York Presbyterian Hospital, Columbia-Presbyterian Campus, Department of Medicine, New York, NY, United States"
 Leng M.," Department of Medicine, University of California, Los Angeles, United States"
 Lenglet C.," Department for Specialized Translation and Terminology, FTI-EII, University of Mons, Belgium"
 Leoni G.," Cogn. Electrophysiology Laboratory, University of Trieste, Piazza dell'Ateneo Nuovo 1, 20126, Milano, Italy"
 Leos G.S.," Exelon Corporation, Oakbrook, IL, United States"
 Lerner B.S.," Department of Computer Science, Williams College, Williamstown, MA, United States"
 Lerner E.B.," Department of Emergency Medicine, Medical College of Wisconsin, Milwaukee, WI, United States"
 Leshchiner I.," Department of Molecular Medicine and Surgery, Science for Life Laboratory, Karolinska Institutet, Stockholm, Sweden"
 Leventhal J.M.," Yale University School of Medicine, New Haven, CT, United States"
 Leventhal J.M.," Office of Interpreter Services, Yale-New Haven Hospital, New Haven, CT, United States"
 Levine F.," Development and Aging Program, Sanford-Burnham Institute for Medical Research, University of California San Diego, San Diego, CA, United States"
 Levinson W.," Department of Ambulatory Care and Prevention, Harvard Pilgrim Health Care, Boston, MA, United States"
 Levitzke-Gray P.," Department of Languages and Intercultural Studies, Heriot-Watt University, Edinburgh, United Kingdom"
 Levitzke-Gray P.," Western Australian Deaf Society, Australia"
 Levy R.," Section of Old Age Psychiatry, Institute of Psychiatry, De Crespigny Park, London, SE5 8AF, United Kingdom"
 Lewis A.," School of Mathematics and Statistics, University of Sheffield, Sheffield, United Kingdom"
 Lewis P.," Department of Mathematical Sciences, University of Bath, Bath, United Kingdom"
 Lewis V.S.," School of Public Health, University of North Carolina, Chapel Hill, NC, United States"
 Li D.," Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic UniversityKowloon, Hong Kong"
 Li G.," Department of Medicine, Weill Cornell College of Medicine, Symphony Capital LLC, New York, NY, United States"
